time_stamp,humidity,temperature,pressure
1714657800,61.8,85.0,975.962
1711822800,67.6,84.4,978.112
1709521800,48.0,97.0,975.856
1711960200,54.6,90.2,973.968
1711948200,53.4,94.2,975.032
1711930800,69.2,86.0,977.354
1711967400,61.2,87.4,974.948
1710814800,46.2,92.6,976.062
1710820200,38.4,98.2,974.764
1712371200,47.4,95.4,974.928
1713223200,66.2,83.0,976.78
1710732000,40.2,95.6,975.344
1710016800,66.0,81.6,975.044
1712847600,67.6,84.4,976.704
1712802600,57.2,92.0,975.978
1713303600,61.0,85.2,974.208
1713258000,42.4,98.6,973.69
1711693800,43.4,99.6,975.082
1711687200,49.25,96.0,976.717
1712341800,67.0,85.0,973.938
1713571800,65.4,86.0,974.41
1713607200,66.6,87.8,972.746
1713655800,65.0,87.0,974.578
1713642600,66.6,86.0,973.932
1710939000,59.4,88.0,975.818
1712613600,67.2,85.0,973.874
1712569200,61.6,89.0,972.024
1712562000,50.0,98.0,970.834
1712674200,69.4,84.0,975.31
1710087600,65.4,83.8,976.078
1709851200,65.4,85.0,972.616
1709854800,65.4,86.8,972.946
1709797200,55.8,94.2,970.728
1709924400,66.0,84.8,972.964
1711581000,63.0,85.0,977.964
1711505400,44.8,93.6,979.728
1710499800,63.6,86.8,974.062
1712080200,67.2,83.6,975.238
1711468200,63.2,84.2,979.3
1711477200,63.2,83.0,978.208
1709713200,64.8,87.2,971.69
1709762400,65.4,85.6,972.718
1710252000,47.8,88.6,974.952
1712952000,70.0,82.0,974.4
1712881200,67.6,85.0,975.878
1712904600,50.2,95.8,972.578
1713385800,63.8,83.0,973.824
1711058400,64.2,85.4,975.024
1710987600,45.6,97.0,976.004
1710982800,56.6,90.6,976.338
1710702600,64.2,82.4,973.878
1710663600,47.0,96.8,971.45
1711084800,43.6,100.0,973.384
1711066200,62.0,88.0,976.048
1710572400,43.8,99.6,973.448
1710574200,52.8,92.8,974.08
1710157800,62.6,87.8,975.136
1714311600,61.6,86.6,976.83
1713919200,63.4,87.8,974.744
1713940800,52.4,97.0,972.46
1713929400,45.8,98.8,974.244
1713976800,66.5,84.5,974.533
1714543800,46.2,99.2,971.522
1714381200,49.6,94.4,972.732
1714387800,57.0,88.0,973.857
1714425600,63.4,85.0,974.156
1714404600,62.6,84.8,975.866
1710305400,43.4,95.8,973.344
1710310200,40.6,97.6,972.06
1711836600,68.2,84.0,978.176
1709661600,64.6,85.4,974.112
1709541000,56.6,89.6,973.228
1709523600,47.0,98.2,975.498
1711950600,52.0,95.2,974.606
1711969800,62.2,87.6,975.754
1712777400,70.0,82.8,974.758
1712764200,71.4,82.6,975.974
1710852000,57.6,88.0,975.806
1710879600,63.8,81.4,974.664
1713176400,57.8,90.6,975.546
1709988000,69.4,80.8,975.978
1710018000,65.4,82.0,975.136
1709973600,62.0,88.2,972.254
1712850600,69.0,84.2,976.844
1712875200,70.0,82.0,975.356
1712806800,48.6,97.2,975.096
1711679400,52.167,94.333,978.43
1711675200,58.833,88.833,978.803
1712292600,39.8,102.4,972.536
1712349000,67.6,84.0,973.318
1713584400,44.6,99.4,973.388
1713628200,65.6,86.2,975.14
1710920400,31.8,106.2,972.288
1712587800,66.4,88.0,974.984
1712602200,68.6,86.6,974.154
1712553000,37.4,102.8,972.208
1712605200,69.2,86.4,973.644
1712692800,69.0,83.0,974.38
1709506200,65.0,85.0,975.674
1709772000,62.2,89.2,974.252
1709918400,65.0,85.8,973.192
1712479200,55.6,92.0,970.956
1712523000,66.0,86.0,973.346
1712455800,48.6,95.4,973.804
1712532600,67.0,85.4,974.898
1711523400,36.0,101.8,975.734
1710504000,66.4,85.0,974.998
1712029200,48.2,97.6,974.882
1712059200,65.0,87.0,975.3
1712071200,66.8,86.0,976.828
1711444200,50.8,92.2,975.928
1713105600,67.4,85.2,978.218
1711907400,65.4,86.4,976.842
1711912200,65.4,86.0,976.406
1712110800,52.4,95.4,976.562
1712116800,42.4,101.4,974.892
1712155800,66.0,87.0,975.98
1710211800,50.2,92.2,974.882
1710264600,50.6,87.8,973.804
1712945400,70.0,83.0,974.934
1711045800,63.6,87.0,975.148
1710991200,41.2,99.6,975.478
1713408000,54.4,91.8,975.858
1710673800,57.4,86.4,973.752
1710593400,63.0,87.2,975.89
1713500400,43.6,100.6,972.958
1714267200,57.0,93.2,975.45
1714290600,47.2,99.2,972.832
1713952200,64.4,88.0,972.634
1713937800,49.4,96.6,972.762
1714578000,61.2,87.0,975.394
1714214400,62.2,89.0,973.884
1714206600,62.6,90.6,972.404
1710330000,50.8,87.8,973.328
1710348000,53.8,85.8,974.082
1709605800,49.4,96.4,975.216
1714633800,44.6,99.0,972.48
1711995000,68.8,84.0,975.93
1714662600,61.6,86.0,976.022
1712731800,58.4,89.6,973.706
1712767200,69.6,83.4,975.486
1712749800,65.4,85.0,975.486
1712738400,58.2,88.6,974.256
1710811800,51.0,89.0,976.518
1710854400,60.6,86.8,976.282
1712380800,38.0,100.8,972.836
1712443800,69.2,81.0,973.036
1710453000,65.0,82.0,974.366
1713199200,63.6,86.8,977.088
1710737400,36.2,97.8,973.938
1711643400,64.4,83.8,978.688
1710001200,64.2,82.2,975.102
1712868600,70.4,82.4,974.846
1712805000,53.0,94.2,975.546
1712813400,72.4,82.6,974.294
