time_stamp,humidity,temperature,pressure,voc,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count
1716958200,35.6,103.8,974.548,75.488,40.6,40.6,8654.351999999999,2552.0370000000003,402.6509999999999,31.475,5.909000000000001
1712625600,59.0,89.25,975.54,94.3,24.9,24.9,5019.9974999999995,1470.0279999999998,267.22,25.4115,4.9559999999999995
1712636400,44.4,100.2,973.482,88.79,38.6,38.6,7882.294,2315.513,404.434,36.069,7.345
1712214600,43.6,100.8,971.152,72.978,4.1,4.1,1050.619,298.39300000000003,33.164,2.689,1.183
1712213400,42.6,101.2,971.124,83.036,5.6,5.6,1372.191,393.363,51.584,6.1850000000000005,2.503
1712226600,59.8,89.2,972.99,75.234,18.9,18.9,3846.706,1126.5790000000002,217.217,33.372,11.115
1712223000,54.6,91.8,972.05,77.154,9.7,9.7,2049.313,594.711,103.15,12.581,4.632
1712199600,49.4,96.2,974.732,76.13,11.7,11.7,2707.322,780.441,108.805,7.974,2.303
1712231400,63.0,87.75,974.037,94.035,12.0,12.0,2465.608,719.954,128.5275,14.571000000000002,5.1975
1713578400,54.2,93.2,974.332,51.674,7.1,7.1,1939.218,549.257,53.014,3.988,1.3130000000000002
1713592200,46.6,100.6,971.602,62.15,5.2,5.2,1270.6,365.811,44.443,3.509,1.3039999999999998
1713244200,38.0,102.2,974.23,73.576,7.1,7.1,1879.37,535.687,56.145,4.0329999999999995,1.804
1713246000,39.6,103.0,973.822,75.904,14.3,14.3,3633.832,1036.002,125.965,14.565,4.59
1713157800,38.0,103.6,975.61,75.758,16.0,16.0,3738.874,1085.4119999999998,138.674,4.305,1.239
1713159000,37.6,103.4,975.432,81.194,16.5,16.5,3808.079,1110.768,144.57600000000002,4.317,1.513
1711944600,53.8,94.4,976.136,69.452,2.9,2.9,774.827,220.808,22.122,1.576,0.642
1711785600,43.6,100.2,975.178,79.488,7.2,7.2,1583.565,456.18,69.8,5.307,2.009
1711786200,44.0,100.2,975.128,76.05,6.7,6.7,1509.31,434.496,65.09100000000001,5.343,2.253
1712868600,70.4,82.4,974.846,117.012,26.4,26.4,5351.572,1570.061,278.467,24.445,5.047000000000001
1713411000,53.2,93.4,975.39,76.956,4.9,4.9,1301.288,370.891,39.117,3.902,2.025
1713477000,66.6,81.6,973.792,83.876,8.2,8.2,2057.294,592.174,68.78399999999999,4.692,1.422
1713416400,50.2,96.2,973.594,63.618,5.4,5.4,1349.772,386.693,46.446,4.667,1.846
1713057600,62.8,90.2,976.968,97.304,27.1,27.1,5955.33,1742.307,257.756,16.163,3.53
1713084000,53.6,94.2,974.094,79.658,8.7,8.7,2234.502,640.524,70.753,4.543,1.512
1713056400,65.0,88.4,976.958,98.008,32.9,32.9,7242.641,2120.326,316.79200000000003,23.528,4.585
